path_id,delay_s,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,channel_gain_db,rss_power_w,rss_power_dbm
165,5.520669e-07,165.62007,-1.1481796e-09,0.0,1.1481796e-09,3.1415927,-178.7998,1.3183171625518272e-20,-168.7998046875
166,4.2769156e-07,128.30746,-9.970717e-08,0.0,9.970717e-08,3.1415927,-140.02547,9.941540336884508e-17,-130.0254669189453
167,5.114339e-07,153.43016,-9.10362e-08,0.0,9.10362e-08,3.1415927,-140.81572,8.287593363829219e-17,-130.8157196044922
168,4.811549e-07,144.34648,-1.3638194e-09,0.0,1.3638194e-09,3.1415927,-177.30486,1.860004949293987e-20,-167.3048553466797
169,4.71838e-07,141.5514,3.939275e-09,0.0,3.939275e-09,0.0,-168.09167,1.5517870809873293e-19,-158.0916748046875
170,5.1884984e-07,155.65495,2.1174918e-08,0.0,2.1174918e-08,0.0,-153.48357,4.4837742829646204e-18,-143.4835662841797
171,8.6351605e-07,259.0548,1.0892334e-09,0.0,1.0892334e-09,0.0,-179.25758,1.1864287068765022e-20,-169.25758361816406
172,1.1183505e-06,335.50516,1.1962152e-09,0.0,1.1962152e-09,0.0,-178.44382,1.4309308559262462e-20,-168.44381713867188
173,5.2868796e-07,158.60638,2.0105306e-10,0.0,2.0105306e-10,0.0,-193.93379,4.042227786645188e-22,-183.9337921142578
174,5.286668e-07,158.60005,4.0139412e-08,0.0,4.0139412e-08,0.0,-147.92859,1.6111718092189466e-17,-137.9285888671875
175,7.316336e-07,219.49007,2.155837e-07,0.0,2.155837e-07,0.0,-133.32768,4.647630076914943e-16,-123.32768249511719
176,4.8107296e-07,144.32188,-3.4373024e-10,0.0,3.4373024e-10,3.1415927,-189.27565,1.1815045184614325e-21,-179.27565002441406
177,4.3424663e-07,130.27399,2.671992e-07,0.0,2.671992e-07,0.0,-131.4633,7.139538009661643e-16,-121.46330261230469
178,6.1023525e-07,183.07057,-1.3142946e-10,0.0,1.3142946e-10,3.1415927,-197.62616,1.7273677144204909e-22,-187.62615966796875
179,7.8085435e-07,234.2563,1.8409504e-09,0.0,1.8409504e-09,0.0,-174.69916,3.3891017875323905e-20,-164.69915771484375
180,8.434244e-07,253.02731,3.5957992e-10,0.0,3.5957992e-10,0.0,-188.8841,1.292978617061282e-21,-178.88409423828125
